"ORIGINAL"	"DBFIELD"
"ContractFolderStatus.TenderResult.HigherTenderAmount"	"Resultado_del_procedimiento/Precio_de_la_Oferta_Mas_Alta"
"ContractFolderStatus.TenderResult.AbnormallyLowTendersIndicator"	"Resultado_del_procedimiento/Se_han_Excluido_Ofertas_por_ser_Anormalmente_Bajas"
"ContractFolderStatus.TenderResult.SMEsReceivedTenderQuantity"	"Resultado_del_procedimiento/Numero_de_Ofertas_Recibidas_de_Pymes"
"ContractFolderStatus.TenderResult.EUNationalsReceivedTenderQuantity"	"Resultado_del_procedimiento/Ofertas_Recibidas_de_Extranjeros_Comunitarios"
"ContractFolderStatus.TenderResult.NonEUNationalsReceivedTenderQuantity"	"Resultado_del_procedimiento/Ofertas_Recibidas_de_Extranjeros_No_Comunitarios"
"ContractFolderStatus.TenderResult.Contract.ID"	"Informacion_sobre_el_Contrato/Numero_de_Contrato"
"ContractFolderStatus.TenderResult.Contract.IssueDate"	"Informacion_sobre_el_Contrato/Fecha_de_Formalizacion"
"ContractFolderStatus.TenderResult.StartDate"	"Informacion_sobre_el_Contrato/Fecha_de_Entrada_en_Vigor"
"ContractFolderStatus.TenderingTerms.ReceivedAppealQuantity"	"Informacion_sobre_el_Contrato/Numero_de_Recursos_Presentados"
"ContractFolderStatus.TenderResult.WinningParty.PartyIdentification.ID"	"Adjudicatario/Identificador"
"ContractFolderStatus.TenderResult.WinningParty.PartyName.Name"	"Adjudicatario/Nombre_del_Adjudicatario"
"ContractFolderStatus.TenderResult.WinningParty.PartyIdentification.IDschemeName"	"Adjudicatario/IDschemeName"
"ContractFolderStatus.TenderResult.WinningParty.PhysicalLocation.CountrySubentityCode"	"Adjudicatario/Pais"
"ContractFolderStatus.TenderResult.WinningParty.PhysicalLocation.Address.CityName"	"Adjudicatario/Ciudad"
"ContractFolderStatus.TenderResult.WinningParty.PhysicalLocation.Address.PostalZone"	"Adjudicatario/Codigo_Postal"
"ContractFolderStatus.TenderResult.WinningParty.PhysicalLocation.Address.Country.IdentificationCode"	"Adjudicatario/Identificador_de_Pais"
"ContractFolderStatus.TenderResult.SMEAwardedIndicator"	"Adjudicatario/es_PYME"
"ContractFolderStatus.TenderResult.WinningParty.PartyLegalEntity.CompanyTypeCode"	"Adjudicatario/es_UTE"
"ContractFolderStatus.TenderResult.AwardedTenderedProject.LegalMonetaryTotal.TaxExclusiveAmount"	"Importes_de_Adjudicacion/Importe_Total_Ofertado_sin_Impuestos"
"ContractFolderStatus.TenderResult.AwardedTenderedProject.LegalMonetaryTotal.PayableAmount"	"Importes_de_Adjudicacion/Importe_Total_Ofertado_con_Impuestos"
"ContractFolderStatus.TenderResult.SubcontractTerms.Description"	"Condiciones_de_Subcontratacion/Descripcion"
"ContractFolderStatus.TenderResult.SubcontractTerms.Rate"	"Condiciones_de_Subcontratacion/Porcentaje_de_Subcontratacion"
"ContractFolderStatus.ContractModification.ContractID"	"Modificaciones_de_contrato/Numero_de_Contrato"
"ContractFolderStatus.ContractModification.ID"	"Modificaciones_de_contrato/Numero_de_la_Modificacion"
"ContractFolderStatus.ContractModification.ContractModificationLegalMonetaryTotal.TaxExclusiveAmount"	"Modificaciones_de_contrato/Importe_Sin_Impuestos_de_la_Modificacion"
"ContractFolderStatus.ContractModification.FinalLegalMonetaryTotal.TaxExclusiveAmount"	"Modificaciones_de_contrato/Importe_Sin_Impuestos_del_Contrato_tras_la_Modificacion"
"ContractFolderStatus.ContractModification.ContractModificationDurationMeasure"	"Modificaciones_de_contrato/Plazo_de_la_Modificacion"
"ContractFolderStatus.ContractModification.FinalDurationMeasure"	"Modificaciones_de_contrato/Plazo_Total_tras_la_Modificacion"
"ContractFolderStatus.ContractModification.Note"	"Modificaciones_de_contrato/Observaciones"
"ContractFolderStatus.ValidNoticeInfo.NoticeTypeCode"	"Publicaciones_Oficiales/Tipo_de_Anuncio"
"ContractFolderStatus.ValidNoticeInfo.AdditionalPublicationStatus.PublicationMediaName"	"Publicaciones_Oficiales/Medio_de_Publicacion"
"ContractFolderStatus.ValidNoticeInfo.AdditionalPublicationStatus.AdditionalPublicationDocumentReference.IssueDate"	"Publicaciones_Oficiales/Fecha_de_Publicacion"
"ContractFolderStatus.ValidNoticeInfo.AdditionalPublicationStatus.AdditionalPublicationDocumentReference.DocumentTypeCode"	"Publicaciones_Oficiales/Tipo_de_Documento_Publicado"
"ContractFolderStatus.ValidNoticeInfo.AdditionalPublicationStatus.AdditionalPublicationDocumentReference.Attachment.ExternalReference.URI"	"Publicaciones_Oficiales/Documento_Publicado/URI"
"ContractFolderStatus.ValidNoticeInfo.AdditionalPublicationStatus.AdditionalPublicationDocumentReference.Attachment.ExternalReference.FileName"	"Publicaciones_Oficiales/Documento_Publicado/Archivo"
"ContractFolderStatus.ValidNoticeInfo.AdditionalPublicationStatus.AdditionalPublicationRequest.AgencyID"	"Publicaciones_Oficiales/Agencia"
"ContractFolderStatus.ValidNoticeInfo.AdditionalPublicationStatus.AdditionalPublicationRequest.SendDate"	"Publicaciones_Oficiales/Fecha_de_Envio_de_Anuncio_al_Diario_Oficial"
"ContractFolderStatus.GeneralDocument.GeneralDocumentDocumentReference.ID"	"Otros_documentos_publicados/Documento_Publicado/ID"
"ContractFolderStatus.GeneralDocument.GeneralDocumentDocumentReference.DocumentTypeCode"	"Otros_documentos_publicados/Tipo_de_Documento_Publicado"
